school_name,school_about,school_location,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,grade_score,overall_band,pte_score, tofel_point,ielts_listening,ielts_speaking,ielts_writting,ielts_reading,new_stream,stream_id,other_fees,application_fee,tution_fee_per_semester,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,process_days,program_level,other_comment,Foundation Fee,acceptable_band,module,english_language,program_sort_order,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,Business Administration,"Business administration graduates tend to have some of the highest starting wages in the world.  Graduates can expect to earn $40,000 to $70,000 just in the starting year of their career! Those who pursue higher education, including a master’s in business administration, can expect to see a profitable return on their investment, including an increase in earnings to upwards of $100,000!",8 sem ,60,6,,,6,6,6,6,"7,8,10",3,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,4 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964," Bachelor of Science, Honours in Biology",This exciting program is intended for those interested in a career in medicine or biomedical research. The program is offered jointly by the Departments of Biological Sciences and Health Sciences and is focused on the molecular basis of human health.,8 sem ,60,6,,,6,6,6,6,5,23,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,4 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,Bachelor of Science in Biology,There are countless reasons to study biology in university. Having a fundamental understanding of biology will provide you with the necessary skills needed to succeed in life and is a great investment to your future career. Plus the journey along the way can be quite fun! Here are some reasons why you should consider studying biology.,6 sem,60,6,,,6,6,6,6,5,23,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,3 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,Economics,"Our program concentrates on theory, applications, and explorations in current and policy-related issues at the regional, national, and international level. Students will study the roles of governmental, business, and financial institutions, as well as individuals as they interact to determine the distribution of a country’s total range of goods and services. Courses cover a wide array of topic areas, including environmental economic policies, microeconomics, urban economics, economic development, economics of finance, elementary statistical methods for economists, among others.",6 sem,60,6,,,6,6,6,6,9,3,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,3 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,Community Development,Algoma University’s three-year Bachelor of Arts in Community Development provides students with both the practical and analytical skills needed to effectively work with a variety of communities to bring about societal change.,8 sem ,60,6,,,6,6,6,6,13,2,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,4 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,Accounting,"Boasting one of the highest pass rates on the chartered accountancy exam, Algoma U’s program continuously graduates students who are highly employable in their field of study. Our students boasts a 95 percent pass rate on their first try, and 100 percent on their second try at writing the Uniform Evaluation (UFE).",8 sem ,60,6,,,6,6,6,6,20,3,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,4 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,Environmental Science,"Algoma University’s four-year Honours Bachelor of Science in Environmental Science program is an interdisciplinary program that integrates core courses in the disciplines of biology, chemistry, and geography.",8 sem ,60,6,,,6,6,6,6,5,23,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,4 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,Finance and Economics,"Algoma University’s four-year Bachelor of Arts in Finance and Economics is a unique program, different from other university programs found across the province. Our faculty is committed to a hands-on learning experience where students are able to establish a personal relationship with their professors. This fosters a very intimate and interactive learning environment.",8 sem ,60,6,,,6,6,6,6,9,3,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,4 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,Geography and Geology,"Our program provides students with skills that go beyond the study of geography, including a broad understanding of numbers and numeracy, writing and research, and data presentation, including mapping and graphing.",8 sem ,60,6,,,6,6,6,6,6,2,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,4 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,Computer Science,"Our computer science students learn and grow in state-of-the-art computer labs. Students and researchers from all over the world come to study and utilize our labs to get working, hands-on knowledge of computer systems and gaming technology.",8 sem ,60,6,,,6,6,6,6,"1,2",24,805.2,125,9653.32,11000,CAD,7 days,"1,5,9",,4 year,1,The Direct Entry Requirement is 6.5/6 and 5.5 is acceptable  in 2 module with english language course fees will $3700 ,,5.5,2,3700,,,,,,,,,,
